1,212500 
2,221500 
3,223500 
4,223500 
5,219500 
6,221500 
7,226500 
8,227000 
9,229500 
10,227500 
11,226000 
12,231000 
13,226000 
14,227500 
15,232000 
16,234000 
17,229000 
18,221000 
19,216000 
20,221000 
21,218500 
22,218000 
23,216500 
24,212500 
25,219000 
26,221500 
27,220000 
28,217500 
29,221500 
30,219000 
31,218500 
32,219000 
33,223000 
34,224000 
35,226500 
36,224000 
37,219000 
38,216500 
39,210000 
40,208500 
41,216000 
42,220000 
43,220000 
44,216500 
45,213000 
46,212000 
47,212500 
48,215500 
49,223500 
50,225000 
51,228000 
52,223000 
53,224000 
54,224000 
55,225500 
56,227000 
57,225000 
58,224000 
59,226000 
60,232500 
61,236500 
62,233000 
63,240000 
64,255000 
65,253500 
66,264000 
67,264500 
68,268500 
69,261000 
70,258500 
71,258000 
72,263000 
73,259000 
74,263500 
75,259500 
76,254000 
77,250000 
78,257000 
79,257500 
80,262000 
81,260500 
82,268500 
83,268000 
84,265500 
85,257000 
86,257500 
87,255500 
88,250000 
89,250000 
90,248000 
91,250500 
92,250500 
93,240500 
94,240500 
95,229000 
96,237000 
97,237000 
98,233500 
99,233500 
100,233000 
101,237500 
102,243000 
103,244000 
104,238000 
105,234000 
106,233500 
107,240000 
108,236500 
109,240000 
110,238500 
111,238500 
112,238000 
113,240000 
114,248500 
115,253500 
116,253500 
117,250500 
118,243000 
119,241000 
120,238500 
121,231000 
122,234000 
123,232500 
124,235500 
125,231500 
126,235500 
127,233500 
128,230000 
129,228500 
130,228000 
131,225500 
132,218500 
133,226000 
134,228500 
135,223000 
136,217500 
137,224000 
138,223000 
139,219000 
140,223000 
141,220000 
142,223500 
143,228500 
144,232500 
145,237000 
146,237500 
147,238500 
148,233000 
149,233500 
150,236500 
151,236000 
152,244000 
153,247000 
154,246000 
155,250000 
156,245000 
157,245500 
158,242000 
159,243000 
160,244000 
161,245500 
162,244000 
163,247000 
164,243500 
165,246000 
166,246000 
167,240500 
168,241500 
169,236000 
170,227000 
171,227500 
172,236000 
173,236500 
174,235000 
175,235500 
